Participant	Block	Trial	Stimulus	Condition	CorrectResp	Code_CorrResp	Response_Code	Response_Time
3	1	24	--<--	neutral	left	2	2	395
3	1	25	<<<<<	congruent	left	2	2	356
3	1	26	--<--	neutral	left	2	2	405
3	1	27	<<<<<	congruent	left	2	2	306
3	1	28	<<<<<	congruent	left	2	2	317
3	1	29	-->--	neutral	right	3	3	327
3	1	30	-->--	neutral	right	3	3	293
3	1	31	<<<<<	congruent	left	2	2	332
3	1	32	<<><<	incongruent	right	3	3	535
3	1	33	--<--	neutral	left	2	2	412
3	1	34	--<--	neutral	left	2	2	393
3	1	35	--<--	neutral	left	2	2	356
3	1	36	>>>>>	congruent	right	3	3	358
3	1	37	<<<<<	congruent	left	2	2	375
3	1	38	<<<<<	congruent	left	2	2	349
3	1	39	>>>>>	congruent	right	3	3	304
3	1	40	<<><<	incongruent	right	3	3	390
3	1	41	>>>>>	congruent	right	3	3	336
3	1	42	<<<<<	congruent	left	2	2	320
3	1	43	--<--	neutral	left	2	2	364
3	1	44	>><>>	incongruent	left	2	3	321
3	1	45	--<--	neutral	left	2	2	318
3	1	46	<<><<	incongruent	right	3	3	406
3	1	47	>>>>>	congruent	right	3	3	324
3	1	48	<<><<	incongruent	right	3	2	273
3	1	49	>><>>	incongruent	left	2	2	448
3	1	50	<<<<<	congruent	left	2	2	357
3	1	51	<<><<	incongruent	right	3	3	390
3	1	52	>><>>	incongruent	left	2	2	429
3	1	53	-->--	neutral	right	3	3	367
3	1	54	-->--	neutral	right	3	3	371
3	1	55	<<><<	incongruent	right	3	3	408
3	1	56	>><>>	incongruent	left	2	2	464
3	1	57	-->--	neutral	right	3	3	343
3	1	58	-->--	neutral	right	3	3	373
3	1	59	-->--	neutral	right	3	3	380
3	1	60	<<<<<	congruent	left	2	2	323
3	1	61	-->--	neutral	right	3	3	383
3	1	62	<<><<	incongruent	right	3	3	483
3	1	63	>>>>>	congruent	right	3	3	398
3	1	64	>>>>>	congruent	right	3	3	391
3	1	65	--<--	neutral	left	2	2	368
3	1	66	<<<<<	congruent	left	2	2	326
3	1	67	<<<<<	congruent	left	2	2	323
3	1	68	>>>>>	congruent	right	3	3	366
3	1	69	--<--	neutral	left	2	2	417
3	1	70	>>>>>	congruent	right	3	3	367
3	1	71	>><>>	incongruent	left	2	2	481
3	1	72	>>>>>	congruent	right	3	3	365
3	2	1	<<><<	incongruent	right	3	3	467
3	2	2	<<><<	incongruent	right	3	3	474
3	2	3	-->--	neutral	right	3	3	418
3	2	4	>><>>	incongruent	left	2	2	447
3	2	5	--<--	neutral	left	2	2	339
3	2	6	-->--	neutral	right	3	3	386
3	2	7	<<<<<	congruent	left	2	2	347
3	2	8	>><>>	incongruent	left	2	2	443
3	2	9	>><>>	incongruent	left	2	2	491
3	2	10	-->--	neutral	right	3	3	375
3	2	11	>><>>	incongruent	left	2	2	398
3	2	12	<<<<<	congruent	left	2	2	341
3	2	13	--<--	neutral	left	2	2	342
3	2	14	>>>>>	congruent	right	3	3	373
3	2	15	--<--	neutral	left	2	2	286
3	2	16	<<<<<	congruent	left	2	2	323
3	2	17	<<<<<	congruent	left	2	2	288
3	2	18	>><>>	incongruent	left	2	2	497
3	2	19	--<--	neutral	left	2	2	313
3	2	20	>><>>	incongruent	left	2	2	425
3	2	21	>>>>>	congruent	right	3	3	391
3	2	22	>>>>>	congruent	right	3	3	337
3	2	23	--<--	neutral	left	2	2	336
3	2	24	--<--	neutral	left	2	2	305
3	2	25	<<><<	incongruent	right	3	3	406
3	2	26	>>>>>	congruent	right	3	3	386
3	2	27	-->--	neutral	right	3	3	410
3	2	28	>>>>>	congruent	right	3	3	389
3	2	29	<<<<<	congruent	left	2	2	305
3	2	30	<<<<<	congruent	left	2	2	297
3	2	31	-->--	neutral	right	3	3	476
3	2	32	-->--	neutral	right	3	3	389
3	2	33	--<--	neutral	left	2	2	335
3	2	34	<<><<	incongruent	right	3	3	451
3	2	35	--<--	neutral	left	2	2	369
3	2	36	<<><<	incongruent	right	3	2	294
3	2	37	>>>>>	congruent	right	3	3	396
3	2	38	--<--	neutral	left	2	2	373
3	2	39	>>>>>	congruent	right	3	3	410
3	2	40	<<<<<	congruent	left	2	2	328
3	2	41	>><>>	incongruent	left	2	2	497
3	2	42	<<><<	incongruent	right	3	3	461
3	2	43	>><>>	incongruent	left	2	2	449
3	2	44	<<<<<	congruent	left	2	2	326
3	2	45	-->--	neutral	right	3	3	371
3	2	46	<<<<<	congruent	left	2	2	312
3	2	47	>><>>	incongruent	left	2	2	541
3	2	48	<<><<	incongruent	right	3	2	340
3	2	49	<<><<	incongruent	right	3	3	495
3	2	50	-->--	neutral	right	3	3	351
3	2	51	--<--	neutral	left	2	2	384
3	2	52	>><>>	incongruent	left	2	2	483
3	2	53	<<><<	incongruent	right	3	2	321
3	2	54	-->--	neutral	right	3	3	412
3	2	55	-->--	neutral	right	3	3	375
3	2	56	--<--	neutral	left	2	2	350
3	2	57	<<<<<	congruent	left	2	2	352
3	2	58	<<><<	incongruent	right	3	3	416
3	2	59	>>>>>	congruent	right	3	3	397
3	2	60	--<--	neutral	left	2	2	328
3	2	61	>><>>	incongruent	left	2	2	466
3	2	62	<<<<<	congruent	left	2	2	316
3	2	63	>>>>>	congruent	right	3	3	342
3	2	64	>><>>	incongruent	left	2	2	451
3	2	65	-->--	neutral	right	3	3	372
3	2	66	>>>>>	congruent	right	3	3	381
3	2	67	<<><<	incongruent	right	3	2	340
3	2	68	-->--	neutral	right	3	3	418
3	2	69	>>>>>	congruent	right	3	3	415
3	2	70	>>>>>	congruent	right	3	3	366
3	2	71	<<><<	incongruent	right	3	3	542
3	2	72	<<<<<	congruent	left	2	2	388
4	1	1	<<<<<	congruent	left	2	2	536
4	1	2	--<--	neutral	left	2	2	460
